poll_reading_id,election_cycle_id,corpus,scope,measurement_class,denominator_semantics,same_sample_dependence_group
forum_w20_20260622_23_mayor,toronto-2026,current,ward_mayoral,campaign_vote_intention,decided_plus_leaners,forum_w20_20260622_23
forum_w20_20260818_council_crawford,toronto-2026,current,council,alternative_ballot,decided_plus_leaners,forum_w20_20260818
forum_w20_20260818_council_current,toronto-2026,current,council,campaign_vote_intention,decided_plus_leaners,forum_w20_20260818
forum_w20_20260818_council_tory_jr,toronto-2026,current,council,alternative_ballot,decided_plus_leaners,forum_w20_20260818
ipsos_20250829_mayor_all,toronto-2026,current,citywide_mayoral,campaign_vote_intention,all_respondents,ipsos-2025-08-29
liaison_20250702_06_mayor_with_tory_all,toronto-2026,current,citywide_mayoral,alternative_ballot,all_respondents,liaison-2025-07-06
liaison_20250702_06_mayor_with_tory_decided,toronto-2026,current,citywide_mayoral,alternative_ballot,decided_only,liaison-2025-07-06
liaison_20250702_06_mayor_without_tory_all,toronto-2026,current,citywide_mayoral,alternative_ballot,all_respondents,liaison-2025-07-06
liaison_20250702_06_mayor_without_tory_decided,toronto-2026,current,citywide_mayoral,alternative_ballot,decided_only,liaison-2025-07-06
liaison_20251022_23_mayor_all,toronto-2026,current,citywide_mayoral,campaign_vote_intention,all_respondents,liaison-2025-10-23
liaison_20251022_23_mayor_decided,toronto-2026,current,citywide_mayoral,campaign_vote_intention,decided_only,liaison-2025-10-23
liaison_20251219_21_mayor_all,toronto-2026,current,citywide_mayoral,campaign_vote_intention,all_respondents,liaison-2025-12-21
liaison_20251219_21_mayor_decided,toronto-2026,current,citywide_mayoral,campaign_vote_intention,decided_only,liaison-2025-12-21
liaison_20260131_0202_mayor_all,toronto-2026,current,citywide_mayoral,campaign_vote_intention,all_respondents,liaison-2026-02-02
liaison_20260131_0202_mayor_five_option,toronto-2026,current,citywide_mayoral,campaign_vote_intention,not_reported,liaison-2026-02-02
liaison_20260306_08_mayor_all,toronto-2026,current,citywide_mayoral,campaign_vote_intention,all_respondents,liaison-2026-03-08
liaison_20260306_08_mayor_decided_leaning,toronto-2026,current,citywide_mayoral,campaign_vote_intention,decided_plus_leaners,liaison-2026-03-08
liaison_20260412_13_mayor_all,toronto-2026,current,citywide_mayoral,campaign_vote_intention,all_respondents,liaison-2026-04-13
liaison_20260412_13_mayor_decided_leaning,toronto-2026,current,citywide_mayoral,campaign_vote_intention,decided_plus_leaners,liaison-2026-04-13
liaison_20260510_11_mayor_decided_leaning,toronto-2026,current,citywide_mayoral,campaign_vote_intention,decided_plus_leaners,liaison-2026-05-11
liaison_20260510_11_mayor_unlabelled_all_field,toronto-2026,current,citywide_mayoral,campaign_vote_intention,not_reported,liaison-2026-05-11
liaison_20260628_30_mayor_all,toronto-2026,current,citywide_mayoral,campaign_vote_intention,all_respondents,liaison-2026-06-30
liaison_20260628_30_mayor_decided,toronto-2026,current,citywide_mayoral,campaign_vote_intention,decided_only,liaison-2026-06-30
liaison_20260724_26_mayor_all,toronto-2026,current,citywide_mayoral,campaign_vote_intention,all_respondents,liaison-2026-07-26
liaison_20260724_26_mayor_decided_leaning,toronto-2026,current,citywide_mayoral,campaign_vote_intention,decided_plus_leaners,liaison-2026-07-26
liaison_20260804_05_mayor_all,toronto-2026,current,citywide_mayoral,campaign_vote_intention,all_respondents,liaison-2026-08-05
liaison_20260804_05_mayor_decided_leaning,toronto-2026,current,citywide_mayoral,campaign_vote_intention,decided_plus_leaners,liaison-2026-08-05
liaison_20260814_16_mayor_all,toronto-2026,current,citywide_mayoral,campaign_vote_intention,all_respondents,liaison-2026-08-16
liaison_20260814_16_mayor_decided_leaning,toronto-2026,current,citywide_mayoral,campaign_vote_intention,decided_plus_leaners,liaison-2026-08-16
liaison_20260904_05_mayor_all,toronto-2026,current,citywide_mayoral,campaign_vote_intention,all_respondents,liaison-2026-09-05
liaison_20260904_05_mayor_decided_leaning,toronto-2026,current,citywide_mayoral,campaign_vote_intention,decided_plus_leaners,liaison-2026-09-05
mainstreet_20260222_mayor_all,toronto-2026,current,citywide_mayoral,campaign_vote_intention,all_respondents,mainstreet-2026-02-22
mainstreet_20260222_mayor_decided,toronto-2026,current,citywide_mayoral,campaign_vote_intention,decided_only,mainstreet-2026-02-22
mainstreet_20260222_mayor_decided_undecided,toronto-2026,current,citywide_mayoral,campaign_vote_intention,other_source_defined,mainstreet-2026-02-22
mainstreet_20260618_mayor_decided,toronto-2026,current,citywide_mayoral,campaign_vote_intention,decided_only,mainstreet-2026-06-18
mainstreet_20260618_mayor_forced_two_way,toronto-2026,current,citywide_mayoral,alternative_ballot,not_reported,mainstreet-2026-06-18
mainstreet_20260618_mayor_leaning,toronto-2026,current,citywide_mayoral,campaign_vote_intention,other_source_defined,mainstreet-2026-06-18
mainstreet_20260618_mayor_raw,toronto-2026,current,citywide_mayoral,campaign_vote_intention,not_reported,mainstreet-2026-06-18
pallas_20250607_mayor_all,toronto-2026,current,citywide_mayoral,campaign_vote_intention,all_respondents,pallas-2025-06-07
pallas_20250607_mayor_decided_leaning,toronto-2026,current,citywide_mayoral,campaign_vote_intention,decided_plus_leaners,pallas-2025-06-07
pallas_20250607_mayor_leaning,toronto-2026,current,citywide_mayoral,campaign_vote_intention,other_source_defined,pallas-2025-06-07
pallas_20260308_mayor_all,toronto-2026,current,citywide_mayoral,campaign_vote_intention,all_respondents,pallas-2026-03-08
pallas_20260308_mayor_decided,toronto-2026,current,citywide_mayoral,campaign_vote_intention,decided_only,pallas-2026-03-08
pallas_20260308_mayor_ford_all,toronto-2026,current,citywide_mayoral,alternative_ballot,all_respondents,pallas-2026-03-08
pallas_20260308_mayor_ford_decided,toronto-2026,current,citywide_mayoral,alternative_ballot,decided_only,pallas-2026-03-08
pallas_20260819_21_mayor_all,toronto-2026,current,citywide_mayoral,campaign_vote_intention,all_respondents,pallas-2026-08-21
pallas_20260819_21_mayor_decided_leaning,toronto-2026,current,citywide_mayoral,question_scope_unclear,decided_plus_leaners,pallas-2026-08-21
pallas_20260819_21_mayor_leaning_with_undecided,toronto-2026,current,citywide_mayoral,campaign_vote_intention,all_respondents,pallas-2026-08-21
compas_2003_oct_decided,toronto_2003,historical,citywide_mayoral,campaign_vote_intention,decided_only,compas_city_2003_10_27
environics_2003_oct_decided,toronto_2003,historical,citywide_mayoral,campaign_vote_intention,decided_only,environics_city_2003_10_17_20_n700
ipsos_2003_nov_decided,toronto_2003,historical,citywide_mayoral,campaign_vote_intention,decided_only,ipsos_city_2003_11_02
decima_2006_oct_all,toronto_2006,historical,citywide_mayoral,campaign_vote_intention,all_respondents,decima_city_2006_10_20_26_n400
ipsos_2006_nov_decided,toronto_2006,historical,citywide_mayoral,campaign_vote_intention,decided_only,ipsos_city_2006_11_02_05_n802
leger_2006_oct_topline,toronto_2006,historical,citywide_mayoral,campaign_vote_intention,not_reported,leger_city_2006_10_27_31
sc_2006_sep_decided,toronto_2006,historical,citywide_mayoral,alternative_ballot,decided_only,sc_city_2006_09_26_30_n500
angusreid_2010_sep_decided,toronto_2010,historical,citywide_mayoral,campaign_vote_intention,decided_plus_leaners,angusreid_city_2010_09_14_15_n502
angusreid_2010_oct_decided,toronto_2010,historical,citywide_mayoral,campaign_vote_intention,decided_plus_leaners,angusreid_city_2010_10_14_15_n1001
ekos_2010_oct13_21_decided,toronto_2010,historical,citywide_mayoral,campaign_vote_intention,decided_plus_leaners,ekos_city_2010_10_13_21_n433
ekos_2010_oct20_22_decided,toronto_2010,historical,citywide_mayoral,campaign_vote_intention,decided_plus_leaners,ekos_city_2010_10_20_22_n240
ipsos_2010_oct08_all,toronto_2010,historical,citywide_mayoral,campaign_vote_intention,all_respondents,ipsos_city_2010_10_08_10_n400
ipsos_2010_oct15_likely,toronto_2010,historical,citywide_mayoral,campaign_vote_intention,all_respondents,ipsos_city_2010_10_15_17_n500
nanos_2010_sep_decided,toronto_2010,historical,citywide_mayoral,campaign_vote_intention,decided_only,nanos_city_2010_09_14_16_n1021
nanos_2010_oct_decided,toronto_2010,historical,citywide_mayoral,campaign_vote_intention,decided_only,nanos_city_2010_10_14_16_n1000
pollara_2010_sep_all,toronto_2010,historical,citywide_mayoral,campaign_vote_intention,all_respondents,pollara_city_2010_09_08_12_n700
forum_2013_jan25_release__r1,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2013_01_25_n1099
forum_2013_jan25_release__r2,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2013_01_25_n1099
forum_2013_jan25_release__r3,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2013_01_25_n1099
forum_2013_jan25_release__r4,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2013_01_25_n1099
forum_2013_jan25_release__r5,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2013_01_25_n1099
forum_2013_jan25_release__r6,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2013_01_25_n1099
forum_2013_jan25_release__r7,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2013_01_25_n1099
forum_2013_mar21_star__r1,toronto_2014,historical,citywide_mayoral,alternative_ballot,not_reported,forum_city_2013_03_19_n1045
forum_2013_mar21_star__r2,toronto_2014,historical,citywide_mayoral,alternative_ballot,not_reported,forum_city_2013_03_19_n1045
forum_2013_mar21_star__r3,toronto_2014,historical,citywide_mayoral,alternative_ballot,not_reported,forum_city_2013_03_19_n1045
forum_2013_mar21_star__r4,toronto_2014,historical,citywide_mayoral,alternative_ballot,not_reported,forum_city_2013_03_19_n1045
forum_2013_may13_star__r1,toronto_2014,historical,citywide_mayoral,alternative_ballot,not_reported,forum_city_2013_05_10_n974
forum_2013_may13_star__r2,toronto_2014,historical,citywide_mayoral,alternative_ballot,not_reported,forum_city_2013_05_10_n974
forum_2013_may13_star__r3,toronto_2014,historical,citywide_mayoral,alternative_ballot,not_reported,forum_city_2013_05_10_n974
forum_2013_may13_star__r4,toronto_2014,historical,citywide_mayoral,alternative_ballot,not_reported,forum_city_2013_05_10_n974
forum_2013_jul30_release__r1,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2013_07_29_n1368
forum_2013_jul30_release__r2,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2013_07_29_n1368
forum_2013_jul30_release__r3,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2013_07_29_n1368
forum_2013_jul30_release__r4,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2013_07_29_n1368
forum_2013_aug29_release__r1,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2013_08_29_n848
forum_2013_aug29_release__r2,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2013_08_29_n848
forum_2013_aug29_release__r3,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2013_08_29_n848
forum_2013_aug29_release__r4,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2013_08_29_n848
forum_2013_aug29_release__r5,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2013_08_29_n848
forum_2013_sep23_release__r1,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2013_09_22_n1082
forum_2013_sep23_release__r2,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2013_09_22_n1082
forum_2013_sep23_release__r3,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2013_09_22_n1082
forum_2013_sep23_release__r4,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2013_09_22_n1082
forum_2013_sep23_release__r5,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2013_09_22_n1082
forum_2013_oct30_release__r1,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2013_10_29_n1093
forum_2013_oct30_release__r2,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2013_10_29_n1093
forum_2013_oct30_release__r3,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2013_10_29_n1093
forum_2013_oct30_release__r4,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2013_10_29_n1093
forum_2013_oct30_release__r5,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2013_10_29_n1093
forum_2013_oct30_release__r6,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2013_10_30_n1041
forum_2013_oct31_release__r1,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2013_10_31_n1032
forum_2013_oct31_release__r2,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2013_10_31_n1032
forum_2013_oct31_release__r3,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2013_10_31_n1032
forum_2013_oct31_release__r4,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2013_10_31_n1032
forum_2013_oct31_release__r5,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2013_10_31_n1032
forum_2013_oct31_release__r6,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2013_10_31_n1032
forum_2013_oct31_release__r7,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2013_10_31_n1032
forum_2013_nov04_release__r1,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2013_11_04_n1393
forum_2013_nov04_release__r2,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2013_11_04_n1393
forum_2013_nov04_release__r3,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2013_11_04_n1393
forum_2013_nov04_release__r4,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2013_11_04_n1393
forum_2013_nov06_release__r1,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2013_11_06_n1157
forum_2013_nov06_release__r2,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2013_11_06_n1157
forum_2013_nov06_release__r3,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2013_11_06_n1157
forum_2013_nov24_sun__r1,toronto_2014,historical,citywide_mayoral,alternative_ballot,not_reported,forum_city_2013_11_24_n1049
forum_2013_nov24_sun__r2,toronto_2014,historical,citywide_mayoral,alternative_ballot,not_reported,forum_city_2013_11_24_n1049
forum_2013_nov24_sun__r3,toronto_2014,historical,citywide_mayoral,alternative_ballot,not_reported,forum_city_2013_11_24_n1049
forum_2013_nov24_sun__r4,toronto_2014,historical,citywide_mayoral,alternative_ballot,not_reported,forum_city_2013_11_24_n1049
forum_2013_nov24_sun__r5,toronto_2014,historical,citywide_mayoral,alternative_ballot,not_reported,forum_city_2013_11_24_n1049
forum_2013_nov24_sun__r6,toronto_2014,historical,citywide_mayoral,alternative_ballot,not_reported,forum_city_2013_11_24_n1049
forum_2014_jan22_release__r1,toronto_2014,historical,citywide_mayoral,question_scope_unclear,all_respondents,forum_city_2014_01_22_n1063
forum_2014_jan22_release__r2,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2014_01_22_n1063
forum_2014_jan22_release__r3,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2014_01_22_n1063
forum_2014_jan22_release__r4,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2014_01_22_n1063
forum_2014_jan22_release__r5,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2014_01_22_n1063
forum_2014_jan22_release__r6,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2014_01_22_n1063
forum_2014_jan22_release__r7,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2014_01_22_n1063
forum_2014_feb09_sun__r1,toronto_2014,historical,citywide_mayoral,question_scope_unclear,not_reported,forum_city_2014_02_06_n769
forum_2014_feb09_sun__r2,toronto_2014,historical,citywide_mayoral,alternative_ballot,not_reported,forum_city_2014_02_06_n769
forum_2014_feb09_sun__r3,toronto_2014,historical,citywide_mayoral,alternative_ballot,not_reported,forum_city_2014_02_06_n769
forum_2014_feb09_sun__r4,toronto_2014,historical,citywide_mayoral,alternative_ballot,not_reported,forum_city_2014_02_06_n769
forum_2014_feb24_five_way,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2014_02_24_n1310
forum_2014_feb24_ford_tory,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2014_02_24_n1310
forum_2014_feb24_ford_tory_chow,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2014_02_24_n1310
forum_2014_feb24_four_way_ford,toronto_2014,historical,citywide_mayoral,question_scope_unclear,all_respondents,forum_city_2014_02_24_n1310
forum_2014_feb24_four_way_no_ford,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2014_02_24_n1310
forum_2014_mar13_release__r1,toronto_2014,historical,citywide_mayoral,campaign_vote_intention,all_respondents,forum_city_2014_03_13_n1271
forum_2014_mar13_release__r2,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2014_03_13_n1271
forum_2014_mar13_release__r3,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2014_03_13_n1271
forum_2014_mar27_release__r1,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2014_03_27_n634
forum_2014_mar27_release__r2,toronto_2014,historical,citywide_mayoral,campaign_vote_intention,all_respondents,forum_city_2014_03_27_n634
forum_2014_apr14_five_way_rob,toronto_2014,historical,citywide_mayoral,campaign_vote_intention,all_respondents,forum_city_2014_04_14_n882
forum_2014_apr14_four_way_no_ford,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2014_04_14_n882
forum_2014_apr14_three_way,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2014_04_14_n882
forum_2014_may01_five_way_rob,toronto_2014,historical,citywide_mayoral,campaign_vote_intention,all_respondents,forum_city_2014_05_01_n888
forum_2014_may01_four_way_no_ford,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2014_05_01_n888
forum_2014_may01_three_way,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2014_05_01_n888
forum_2014_may21_five_way_doug,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2014_05_21_n923
forum_2014_may21_five_way_norm_kelly,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2014_05_21_n923
forum_2014_may21_five_way_rob,toronto_2014,historical,citywide_mayoral,campaign_vote_intention,all_respondents,forum_city_2014_05_21_n923
forum_2014_may21_four_way_no_ford,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2014_05_21_n923
forum_2014_may21_three_way_doug,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2014_05_21_n923
forum_2014_may21_three_way_rob,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2014_05_21_n923
forum_2014_jun23_five_way_rob,toronto_2014,historical,citywide_mayoral,question_scope_unclear,all_respondents,forum_city_2014_06_23_n890
forum_2014_jun23_four_way_no_ford,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2014_06_23_n890
forum_2014_jun23_three_way_rob,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2014_06_23_n890
forum_2014_jun23_two_way_tory_chow,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2014_06_23_n890
forum_2014_jul02_five_way_rob,toronto_2014,historical,citywide_mayoral,question_scope_unclear,all_respondents,forum_city_2014_07_02_n1182
forum_2014_jul02_four_way_no_ford_trend,toronto_2014,historical,citywide_mayoral,alternative_ballot,not_reported,forum_city_2014_07_02_n1182
forum_2014_jul02_three_way_rob_trend,toronto_2014,historical,citywide_mayoral,alternative_ballot,not_reported,forum_city_2014_07_02_n1182
forum_2014_jul02_two_way_tory_chow_trend,toronto_2014,historical,citywide_mayoral,alternative_ballot,not_reported,forum_city_2014_07_02_n1182
forum_2014_jul21_five_way_rob,toronto_2014,historical,citywide_mayoral,campaign_vote_intention,all_respondents,forum_city_2014_07_21_n1063
forum_2014_jul21_three_way_rob,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2014_07_21_n1063
forum_2014_aug06_five_way_rob,toronto_2014,historical,citywide_mayoral,campaign_vote_intention,all_respondents,forum_city_2014_08_05_06_n1268
forum_2014_aug06_four_way_rob,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2014_08_05_06_n1268
forum_2014_aug06_three_way_rob_trend,toronto_2014,historical,citywide_mayoral,alternative_ballot,not_reported,forum_city_2014_08_05_06_n1268
forum_2014_aug26_four_way_rob,toronto_2014,historical,citywide_mayoral,campaign_vote_intention,all_respondents,forum_city_2014_08_25_26_n1945
forum_2014_aug26_three_way_rob,toronto_2014,historical,citywide_mayoral,question_scope_unclear,all_respondents,forum_city_2014_08_25_26_n1945
forum_2014_sep08_four_way_rob,toronto_2014,historical,citywide_mayoral,campaign_vote_intention,all_respondents,forum_city_2014_09_08_n1069
forum_2014_sep08_three_way_rob,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2014_09_08_n1069
forum_2014_sep08_two_way_rob_tory,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2014_09_08_n1069
forum_2014_sep12_three_way_doug,toronto_2014,historical,citywide_mayoral,campaign_vote_intention,all_respondents,forum_city_2014_09_12_n1228
forum_2014_sep12_two_way_tory_chow,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2014_09_12_n1228
forum_2014_sep22_current_field_trend,toronto_2014,historical,citywide_mayoral,campaign_vote_intention,not_reported,forum_city_2014_09_22_n1164
forum_2014_sep22_horserace__r1,toronto_2014,historical,citywide_mayoral,campaign_vote_intention,all_respondents,forum_city_2014_09_22_n1164
forum_2014_sep22_horserace__r2,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2014_09_22_n1164
forum_2014_sep22_two_way_doug_chow,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2014_09_22_n1164
forum_2014_sep22_two_way_tory_chow,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2014_09_22_n1164
forum_2014_sep22_two_way_tory_doug,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,forum_city_2014_09_22_n1164
forum_2014_sep29_decided_leaning,toronto_2014,historical,citywide_mayoral,campaign_vote_intention,decided_plus_leaners,forum_city_2014_09_29_n1202
forum_2014_oct06_decided_leaning,toronto_2014,historical,citywide_mayoral,campaign_vote_intention,decided_plus_leaners,forum_city_2014_10_06_n1218
forum_2014_oct15_decided_leaning,toronto_2014,historical,citywide_mayoral,campaign_vote_intention,decided_plus_leaners,forum_city_2014_10_15_n1241
forum_2014_oct20_decided_leaning,toronto_2014,historical,citywide_mayoral,campaign_vote_intention,decided_plus_leaners,forum_city_2014_10_20_n852
forum_2014_oct25_decided_leaning,toronto_2014,historical,citywide_mayoral,campaign_vote_intention,decided_plus_leaners,forum_city_2014_10_25_n986
ipsos_nov2013_scenario1,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,ipsos_city_2013_11_08_12_n665
ipsos_nov2013_scenario2,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,ipsos_city_2013_11_08_12_n665
ipsos_nov2013_scenario3,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,ipsos_city_2013_11_08_12_n665
ipsos_nov2013_scenario4,toronto_2014,historical,citywide_mayoral,alternative_ballot,all_respondents,ipsos_city_2013_11_08_12_n665
ipsos_sep16_decided,toronto_2014,historical,citywide_mayoral,campaign_vote_intention,decided_only,ipsos_city_2014_09_12_16_n596
ipsos_sep26_decided_leaners,toronto_2014,historical,citywide_mayoral,campaign_vote_intention,decided_plus_leaners,ipsos_city_2014_09_23_26_n1252
ipsos_oct23_decided_leaners,toronto_2014,historical,citywide_mayoral,campaign_vote_intention,decided_plus_leaners,ipsos_city_2014_10_21_23_n1201
mainstreet_2014_sep13_report__r1,toronto_2014,historical,citywide_mayoral,campaign_vote_intention,all_respondents,mainstreet_city_2014_09_12_n1054
mainstreet_2014_sep13_report__r2,toronto_2014,historical,citywide_mayoral,campaign_vote_intention,decided_only,mainstreet_city_2014_09_12_n1054
mainstreet_2014_sep21_report__r1,toronto_2014,historical,citywide_mayoral,campaign_vote_intention,all_respondents,mainstreet_city_2014_09_21_n2469
mainstreet_2014_sep21_report__r2,toronto_2014,historical,citywide_mayoral,campaign_vote_intention,decided_only,mainstreet_city_2014_09_21_n2469
mainstreet_2014_sep28_report__r1,toronto_2014,historical,citywide_mayoral,campaign_vote_intention,all_respondents,mainstreet_city_2014_09_28_n2409
mainstreet_2014_sep28_report__r2,toronto_2014,historical,citywide_mayoral,campaign_vote_intention,decided_only,mainstreet_city_2014_09_28_n2409
